/*Owner & Copyrights: Vance King Saxbe. A.*/4,683.74:03:02:22
4,678.30:11:39:16
4,682.63:11:39:29
4,683.18:11:39:41
4,681.66:11:40:06
4,683.17:11:40:21
4,684.25:11:40:32
4,682.20:11:41:00
4,684.15:11:41:12
4,683.88:11:41:26
4,684.29:11:41:40
4,686.41:11:41:51
4,685.92:11:42:02
4,684.10:11:42:22
4,684.21:11:42:34
4,686.02:11:42:46
4,686.07:11:43:03
4,684.00:11:43:19
4,683.94:11:43:36
4,684.29:11:43:52
4,685.51:11:44:04
4,685.16:11:44:19
4,688.14:11:44:35
4,689.38:11:44:47
4,687.14:11:45:12
4,688.87:11:45:25
4,688.76:11:45:39
4,689.33:11:45:51
4,687.92:11:46:03
4,688.44:11:46:30
4,688.98:11:46:42
4,689.55:11:46:55
4,689.63:11:47:11
4,687.93:11:47:26
4,687.84:11:48:20
4,687.78:11:48:43
4,683.90:11:49:01
4,680.89:11:49:52
4,681.36:11:50:09
4,680.19:11:50:22
4,679.41:11:50:35
4,681.16:11:57:44
4,681.17:11:58:17
4,682.10:11:58:34
4,682.42:11:58:56
4,682.50:11:59:14
4,683.91:11:59:36
4,682.63:12:00:22
4,683.13:12:00:44
4,683.93:12:01:06
4,683.13:12:01:26
4,683.69:12:01:43
4,682.62:12:02:03
4,683.15:12:02:21
4,683.21:12:02:56
4,683.73:12:04:38
4,683.74:12:04:49
4,683.03:12:05:49
4,684.53:12:06:06
4,684.92:12:06:37
4,684.38:12:06:53
4,684.08:12:07:07
4,683.97:12:07:35
4,679.72:12:07:53
4,681.12:12:08:12
4,679.73:12:08:25
4,678.48:12:08:41
4,675.47:12:08:54
4,676.20:12:09:07
4,679.03:12:09:28
4,676.10:12:09:41
4,676.86:12:09:54
4,677.89:12:10:10
4,672.78:12:10:24
4,672.30:12:10:53
4,677.16:12:11:06
4,677.39:12:11:20
4,676.72:12:11:48
4,677.02:12:12:17
4,678.64:12:12:33
4,678.66:12:12:48
4,678.59:12:13:15
4,676.99:12:13:22
4,678.59:12:13:34
4,675.78:12:13:47
4,675.97:12:14:08
4,677.43:12:14:22
4,676.93:12:14:55
4,676.16:12:15:04
4,678.63:12:15:57
4,678.91:12:16:07
4,679.18:12:16:22
4,678.45:12:16:39
4,678.48:12:17:02
4,673.05:12:17:33
4,672.64:12:18:36
4,672.12:12:19:11
4,674.12:12:19:22
4,675.73:12:19:36
4,674.12:12:19:52
4,675.35:12:20:19
4,675.68:12:21:09
4,676.13:12:21:19
4,677.43:12:21:50
4,679.27:12:23:43
4,680.93:12:24:05
4,681.01:12:24:26
4,679.75:12:25:38
4,679.56:12:25:51
4,679.04:12:26:30
4,677.74:12:26:48
4,678.82:12:27:03
4,680.07:12:27:24
4,680.13:12:27:45
4,679.09:12:27:51
4,680.19:12:28:10
4,680.30:12:28:41
4,680.07:12:28:56
4,680.06:12:29:08
4,680.16:12:29:39
4,678.57:12:30:18
4,676.74:12:30:21
4,677.57:12:31:09
4,677.61:12:31:18
4,677.55:12:31:41
4,677.45:12:31:50
4,677.44:12:32:29
4,677.53:12:33:03
4,677.65:12:33:11
4,678.16:12:33:44
4,678.03:12:34:02
4,676.86:12:34:07
4,676.87:12:34:34
4,678.22:12:34:37
4,675.00:12:35:08
4,672.76:12:35:26
4,675.55:12:35:37
4,676.76:12:36:44
4,670.62:12:36:49
4,671.00:12:37:06
4,669.70:12:37:21
4,669.71:12:37:37
4,670.58:12:37:53
4,668.05:12:38:08
4,669.62:12:40:57
4,669.02:12:41:38
4,670.13:12:41:51
4,669.72:12:42:09
4,669.24:12:42:34
4,668.90:12:42:41
4,668.38:12:42:53
4,669.42:12:43:07
4,668.99:12:43:24
4,668.06:12:43:40
4,668.03:12:43:54
4,668.28:12:44:06
4,667.34:12:44:22
4,667.40:12:44:35
4,666.54:12:45:01
4,666.68:12:45:14
4,663.70:12:45:27
4,662.88:12:45:39
4,659.70:12:45:51
4,659.95:12:46:04
4,660.39:12:46:19
4,661.36:12:46:44
4,660.94:12:46:59
4,663.32:12:47:15
4,661.68:12:47:28
4,662.04:12:47:40
4,663.17:12:47:52
4,662.48:12:48:17
4,662.57:12:48:31
4,659.37:12:48:46
4,661.57:12:49:07
4,657.27:12:49:27
4,657.11:12:49:38
4,654.62:12:50:14
4,654.69:12:50:19
4,656.31:12:50:45
4,688.66:01:29:18
4,686.62:01:29:47
4,685.73:01:30:12
4,684.22:01:30:37
4,686.04:01:31:11
4,684.65:01:31:46
4,686.02:01:32:08
4,685.48:01:32:36
4,686.59:01:33:11
4,682.92:01:46:40
4,681.74:01:47:04
4,682.24:01:47:35
4,682.77:01:48:01
4,686.39:01:48:24
4,686.51:01:48:45
4,684.74:01:49:09
4,683.38:01:49:31
4,686.54:01:50:04
4,685.66:01:50:24
4,686.87:01:50:42
4,688.54:01:50:58
4,690.35:01:51:21
4,689.97:01:52:04
4,688.62:01:52:23
4,693.65:01:52:48
4,695.27:01:53:06
4,691.37:01:53:30
4,688.83:01:53:49
4,689.84:01:54:12
4,691.58:01:54:41
4,692.11:01:55:14
4,684.09:01:55:52
4,686.90:01:56:27
4,689.76:01:56:53
4,687.90:01:57:19
4,689.18:01:57:41
4,690.17:01:57:59
4,687.47:01:58:17
4,690.86:01:58:32
4,689.43:01:59:20
4,686.95:01:59:42
4,690.85:02:00:47
4,688.60:02:01:04
4,691.39:02:01:24
4,691.24:02:01:49
4,691.11:02:01:56
4,688.28:02:02:52
4,698.00:02:03:16
4,698.27:02:04:24
4,703.50:02:07:22
4,702.94:02:07:44
4,700.72:02:08:05
4,699.11:02:09:03
4,697.27:02:09:30
4,697.25:02:09:55
4,698.12:02:10:07
4,695.48:02:10:18
4,697.91:02:10:30
4,698.54:02:10:43
4,698.41:02:12:12
4,698.02:02:12:26
4,694.22:02:12:52
4,695.08:02:13:06
4,700.24:02:13:38
4,697.61:02:13:53
4,700.53:02:14:06
4,697.83:02:14:21
4,698.96:02:14:39
4,699.02:02:14:57
4,696.54:02:15:31
4,697.85:02:16:00
4,698.04:02:16:17
4,700.53:02:16:37
4,700.59:02:17:37
4,701.58:02:17:44
4,701.47:02:18:19
4,700.94:02:18:33
4,700.48:02:18:46
4,699.72:02:19:49
4,702.66:02:20:05
4,702.38:02:20:34
4,702.10:02:21:31
4,700.25:02:22:10
4,700.78:02:22:20
4,701.41:02:23:08
4,698.92:02:23:37
4,698.90:02:23:53
4,699.92:02:24:06
4,700.44:02:24:32
4,701.73:02:25:04
4,699.80:02:25:15
4,699.57:02:25:37
4,699.74:02:25:44
4,699.45:02:26:08
4,696.25:02:27:13
4,690.69:02:28:02
4,686.33:02:29:22
4,687.22:02:29:43
4,677.11:02:30:27
4,675.43:02:30:47
4,676.03:02:31:02
4,686.30:02:34:42
4,685.28:02:35:04
4,684.71:02:35:28
4,683.65:02:35:58
4,683.56:02:36:26
4,681.62:02:38:58
4,678.97:02:39:25
4,680.87:02:40:06
4,677.55:02:40:30
4,671.87:02:41:34
4,673.55:02:42:07
4,674.65:02:42:43
4,677.85:02:43:05
4,676.79:02:43:55
4,676.76:02:44:07
4,676.02:02:44:27
4,671.51:02:45:01
4,669.87:02:45:27
4,671.47:02:45:55
4,675.09:02:46:49
4,675.40:02:47:04
4,673.45:02:47:23
4,676.56:02:47:56
4,677.15:02:51:00
4,675.18:02:51:39
4,675.86:02:52:04
4,680.23:02:52:51
4,677.73:02:53:08
4,680.36:02:53:42
4,683.17:02:56:52
4,689.51:02:57:30
4,684.93:02:58:08
4,693.23:02:58:50
4,698.23:02:59:20
4,695.59:03:00:00
4,698.17:03:00:38
4,694.50:03:01:26
4,690.34:03:02:00
4,692.61:03:02:50
4,692.16:03:03:20
4,694.43:03:04:14
4,689.30:03:05:13
4,689.54:03:05:36
4,688.58:03:06:13
4,686.69:03:06:44
4,682.78:03:07:29
4,684.03:03:08:09
4,687.43:03:08:48
4,686.44:03:09:15
4,687.34:03:09:48
4,685.09:03:10:28
4,683.81:03:10:53
4,683.46:03:11:23
4,683.09:03:11:53
4,682.95:03:12:23
4,685.25:03:12:50
4,684.73:03:13:20
4,691.68:03:14:07
4,698.44:03:14:31
4,687.75:03:15:19
4,690.64:03:16:11
4,675.82:03:19:06
4,676.42:03:19:37
4,679.35:03:20:59
4,681.18:03:21:43
4,681.80:03:23:05
4,680.20:03:23:24
4,680.18:03:23:40
4,681.86:03:25:06
4,685.59:03:26:25
4,696.43:03:27:49
4,696.71:03:28:15
4,690.45:03:29:13
4,688.43:03:30:32
4,656.12:03:01:10
4,657.68:03:01:29
4,657.30:03:01:44
4,652.98:03:02:31
4,663.68:03:03:49
4,699.11:03:13:20
4,696.26:03:14:07
4,695.29:03:16:14
4,694.24:03:16:43
4,677.16:03:17:12
4,682.08:03:17:53
4,687.62:03:18:21
4,677.24:03:19:06
4,680.76:03:19:45
4,671.49:03:20:19
4,670.05:03:20:52
4,667.39:03:21:26
4,670.26:03:22:02
4,676.48:03:22:50
4,670.05:03:23:30
4,671.89:03:24:12
4,673.14:03:24:55
4,674.69:03:25:22
4,675.15:03:25:49
4,683.35:03:26:21
4,682.49:03:26:56
4,682.08:03:27:27
4,684.20:03:28:05
4,684.04:03:28:34
4,682.87:03:29:13
4,687.07:03:29:41
4,686.15:03:30:32
4,644.98:02:11:15
4,645.11:02:11:23
4,641.30:02:11:43
4,641.81:02:13:09
4,617.83:02:23:33
4,618.19:02:23:50
4,617.75:02:24:05
4,615.53:02:24:33
4,614.80:02:24:47
4,614.92:02:25:09
4,629.64:02:33:12
4,629.68:02:34:48
4,628.46:02:35:48
4,632.44:02:36:27
4,630.65:02:37:10
4,627.73:02:37:48
4,626.79:02:38:27
4,627.98:02:39:06
4,629.67:02:39:45
4,633.60:02:40:27
4,634.23:02:41:06
4,637.71:02:41:49
4,638.85:02:42:29
4,641.73:02:43:05
4,642.67:02:43:41
4,642.56:02:44:19
4,644.45:02:44:59
4,642.16:02:45:35
4,641.91:02:45:48
4,640.61:02:45:59
4,641.48:02:46:11
4,642.33:02:46:25
4,642.17:02:46:38
4,643.88:02:47:03
4,643.93:02:47:17
4,643.96:02:47:32
4,644.17:02:47:52
4,643.79:02:48:13
4,643.70:02:48:23
4,642.81:02:49:07
4,639.76:02:50:18
4,642.38:02:50:47
4,677.52:02:09:16
4,676.55:02:09:31
4,675.25:02:09:41
4,674.56:02:10:02
4,675.50:02:10:15
4,675.46:02:10:29
4,675.68:02:10:41
4,675.47:02:10:54
4,677.28:02:11:10
4,677.16:02:11:23
4,672.51:02:11:51
4,672.80:02:12:02
4,675.25:02:12:17
4,674.85:02:12:31
4,674.88:02:12:46
4,675.58:02:13:00
4,675.74:02:13:19
4,676.56:02:13:36
4,677.32:02:13:54
4,676.60:02:14:10
4,676.72:02:14:26
4,677.04:02:14:44
4,677.92:02:14:58
4,677.30:02:15:13
4,677.62:02:15:29
4,677.55:02:15:45
4,677.78:02:16:00
4,678.52:02:16:14
4,677.33:02:16:27
4,676.52:02:16:42
4,676.77:02:16:57
4,675.92:02:17:13
4,679.89:02:17:29
4,678.29:02:17:44
4,678.63:02:17:59
4,678.66:02:18:16
4,678.67:02:18:32
4,683.37:02:18:49
4,680.73:02:19:04
4,680.92:02:19:18
4,680.49:02:19:32
4,680.55:02:19:53
4,681.01:02:20:12
4,681.33:02:20:27
4,680.85:02:20:42
4,682.53:02:20:55
4,682.73:02:21:09
4,682.04:02:21:37
4,681.74:02:21:48
4,681.68:02:22:03
4,678.75:02:22:18
4,679.44:02:22:33
4,686.99:02:36:06
4,687.40:02:36:22
4,685.85:02:36:43
4,681.94:02:37:01
4,681.31:02:37:22
4,680.76:02:37:40
4,677.25:02:38:03
4,678.33:02:38:24
4,675.01:02:38:43
4,674.76:02:39:04
4,679.16:02:39:26
4,677.77:02:39:47
4,682.61:02:40:05
4,677.80:02:40:26
4,680.85:02:40:49
4,679.47:02:41:08
4,679.39:02:41:29
4,677.41:02:41:50
4,676.91:02:42:10
4,679.66:02:42:21
4,679.08:02:42:40
4,677.03:02:43:00
4,676.82:02:43:20
4,677.34:02:43:39
4,674.95:02:43:59
4,675.35:02:44:20
4,671.85:02:44:39
4,668.51:02:44:51
4,667.81:02:45:10
4,664.54:02:45:29
4,663.35:02:45:48
4,658.75:02:46:08
4,660.99:02:46:27
4,660.22:02:46:43
4,659.77:02:47:13
4,660.68:02:47:54
4,662.47:02:47:59
4,659.50:02:48:12
4,660.11:02:48:45
4,662.63:02:50:20
4,658.67:02:52:23
4,660.06:02:52:35
4,660.54:02:52:46
4,658.83:02:53:10
4,660.40:02:53:47
4,661.05:02:54:11
4,658.70:02:55:18
4,664.40:02:55:58
4,664.63:02:56:26
4,666.22:02:58:32
4,664.54:02:58:45
4,665.99:02:59:12
4,665.96:02:59:36
4,662.88:02:59:47
4,666.30:02:59:58
4,673.07:03:00:20
:03:00:56
4,704.49:03:24:33
4,706.13:03:25:01
4,710.08:03:25:33
4,708.97:03:26:05
4,710.43:03:26:32
4,712.40:03:26:55
4,707.92:03:27:19
4,709.42:03:27:45
4,711.33:03:28:08
4,709.60:03:28:30
4,707.75:03:29:38
4,697.56:06:46:28
4,640.45:03:12:05
4,639.94:03:12:38
4,638.74:03:13:19
4,638.12:03:14:47
4,638.01:03:15:54
4,638.82:03:16:46
4,639.40:03:17:14
4,641.82:03:17:55
4,637.99:03:18:23
4,634.64:03:19:04
4,636.79:03:19:47
4,634.37:03:20:23
4,635.04:03:20:51
4,635.63:03:21:22
4,636.76:03:22:11
4,632.80:03:22:57
4,635.73:03:23:30
4,635.90:03:24:09
4,635.98:03:24:40
4,634.13:03:25:01
4,638.58:03:25:37
4,640.70:03:26:09
4,640.11:03:26:42
4,640.98:03:27:19
4,646.87:03:28:34
4,641.66:03:29:36
4,638.95:03:30:29
4,642.71:03:40:25
4,661.04:09:15:27
4,655.22:09:15:51
4,648.63:09:16:06
4,653.52:09:16:32
4,659.82:09:16:43
4,656.22:09:16:58
4,658.55:09:17:12
4,663.01:09:17:26
4,659.00:09:17:41
4,654.61:09:17:55
4,660.03:09:18:07
4,658.46:09:18:34
4,659.84:09:18:44
4,655.30:09:18:56
4,655.27:09:19:10
4,657.93:09:19:43
4,661.25:09:19:57
4,659.24:09:20:08
4,669.54:09:20:29
4,670.29:09:20:41
4,670.68:09:21:07
4,663.83:09:21:26
4,663.08:09:21:54
4,662.56:09:22:07
4,661.70:09:22:29
4,661.79:09:22:43
4,662.99:09:23:18
4,655.35:09:23:38
4,659.89:09:24:22
4,665.28:09:24:38
4,665.44:09:24:53
4,663.65:09:25:23
4,663.84:09:25:36
4,663.11:09:26:15
4,663.47:09:26:26
4,662.57:09:26:35
4,659.51:09:27:09
4,662.90:09:27:21
4,656.39:09:27:41
4,658.40:09:28:11
4,660.84:09:28:30
4,659.89:09:28:39
4,661.49:09:28:57
4,660.66:09:29:06
4,662.08:09:30:01
4,662.23:09:30:16
4,662.81:09:30:28
4,662.99:09:30:47
4,662.82:09:31:00
4,665.08:09:31:13
4,666.19:09:31:24
4,658.98:09:32:04
4,661.57:09:32:16
4,661.55:09:32:30
4,657.48:09:32:38
4,653.88:09:33:21
4,653.76:09:33:41
4,658.94:09:34:36
4,657.79:09:34:55
4,660.10:09:35:20
4,658.86:09:36:00
4,658.62:09:36:22
4,661.92:09:38:05
4,661.86:09:38:17
4,660.65:09:38:47
4,660.25:09:39:04
4,661.47:09:39:23
4,659.56:09:39:40
4,659.44:09:39:55
4,659.06:09:40:09
4,660.72:09:40:23
4,660.83:09:40:37
4,660.68:09:41:02
4,660.37:09:41:15
4,659.39:09:41:57
4,660.96:09:42:21
4,660.93:09:42:36
4,661.77:09:42:48
4,661.78:09:43:01
4,660.88:09:43:15
4,656.02:09:43:26
4,655.84:09:43:40
4,651.95:09:44:06
4,655.39:09:44:23
4,653.72:09:44:40
4,654.33:09:44:57
4,654.23:09:45:19
4,659.48:09:45:39
4,659.26:09:45:59
4,660.96:09:46:52
4,660.66:09:47:11
4,661.93:09:47:30
4,661.76:09:47:52
4,661.70:09:48:13
4,657.46:09:48:28
4,659.22:09:48:44
4,659.32:09:49:00
4,659.08:09:49:14
4,660.99:09:49:23
4,661.11:09:49:39
4,661.13:09:50:01
4,662.20:09:50:26
4,662.12:09:50:42
4,661.98:09:50:57
4,662.06:09:51:15
4,664.14:09:51:25
4,661.95:09:51:39
4,660.71:09:52:02
4,659.34:09:52:41
4,659.30:09:52:55
4,659.37:09:53:14
4,659.20:09:53:41
4,659.13:09:54:29
4,659.12:09:54:42
4,661.92:09:55:19
4,659.82:09:56:03
4,660.25:09:56:19
4,659.77:09:56:24
4,661.32:09:56:57
4,660.94:09:58:49
4,661.63:09:59:01
4,661.53:09:59:17
4,672.15:10:01:08
4,669.19:10:01:39
4,668.23:10:02:20
4,671.53:10:02:34
4,671.09:10:03:08
4,673.88:10:04:21
4,672.94:10:04:32
4,669.71:10:05:22
4,670.47:10:05:26
4,671.84:10:05:43
4,672.35:10:05:57
4,672.41:10:06:16
4,670.97:10:06:59
4,671.81:10:07:26
4,674.27:10:08:03
4,675.07:10:08:35
4,677.32:10:09:02
4,677.64:10:09:26
4,677.01:10:09:42
4,677.59:10:10:07
4,676.92:10:11:02
4,674.76:10:22:40
4,674.77:10:23:05
4,671.82:10:23:28
4,671.35:10:23:56
4,671.14:10:24:19
4,670.50:10:24:40
4,669.90:10:25:04
4,669.84:10:25:24
4,667.85:10:25:45
4,666.92:10:26:05
4,666.11:10:26:25
4,670.24:10:26:46
4,670.12:10:27:09
4,670.23:10:27:30
4,670.14:10:27:50
4,676.39:10:28:10
4,676.47:10:28:32
4,671.86:10:28:57
4,672.89:10:29:16
4,673.87:10:29:32
4,673.72:10:29:51
4,676.15:10:30:11
4,678.91:10:30:30
4,679.39:10:30:48
4,681.21:10:31:06
4,681.60:10:31:27
4,679.53:10:31:47
4,680.52:10:32:05
4,680.57:10:32:23
4,677.77:10:32:42
4,679.87:10:33:03
4,680.98:10:33:25
4,680.03:10:33:41
4,676.59:10:35:15
4,676.61:10:38:14
4,676.20:10:38:36
4,679.15:10:38:59
4,675.92:10:39:15
4,674.09:10:39:44
4,672.42:10:39:58
4,671.29:10:40:15
4,668.97:10:40:29
4,669.41:10:40:44
4,667.85:10:40:55
4,667.92:10:41:14
4,668.80:10:41:32
4,669.01:10:41:50
4,668.86:10:42:07
4,670.98:10:42:25
4,669.20:10:42:42
4,668.03:10:43:10
4,668.62:10:43:26
4,678.54:10:43:56
4,675.05:10:44:12
4,675.09:10:44:31
4,673.49:10:44:43
4,673.63:10:44:59
4,675.79:10:45:14
4,673.76:10:45:29
4,675.92:10:45:42
4,677.10:10:46:17
4,677.14:10:46:37
4,677.34:10:46:54
4,678.13:10:47:14
4,678.61:10:47:30
4,676.33:10:47:52
4,678.17:10:48:34
4,679.79:10:49:08
4,679.84:10:49:18
4,679.26:10:49:45
4,675.91:10:49:59
4,676.45:10:50:18
4,676.52:10:50:31
4,676.51:10:50:44
4,676.88:10:51:13
4,676.10:10:51:53
4,676.00:10:52:07
4,675.42:10:52:24
4,675.14:10:52:30
4,674.76:10:53:16
4,674.81:10:53:32
4,674.21:10:53:47
4,674.29:10:54:19
4,674.30:10:55:09
4,674.21:10:55:42
4,677.50:10:56:06
4,676.43:10:56:37
4,672.86:10:57:06
4,674.41:10:57:30
4,674.53:10:58:11
4,674.83:10:59:12
4,674.85:10:59:27
4,676.80:11:00:07
4,676.82:11:00:28
4,676.91:11:00:43
4,679.57:11:01:21
4,679.68:11:01:51
4,676.74:11:02:00
4,676.73:11:02:23
4,679.29:11:03:16
4,681.73:11:06:41
4,681.04:11:07:03
4,676.08:11:07:38
4,678.55:11:07:47
4,675.32:11:08:19
4,675.26:11:08:33
4,683.30:11:09:13
4,680.18:11:09:54
4,680.39:11:10:02
4,680.52:11:10:29
4,683.77:11:10:56
4,684.29:11:10:59
4,683.38:11:11:15
4,680.08:11:11:26
4,679.55:11:12:06
4,679.11:11:12:18
4,679.51:11:13:15
4,675.16:11:13:36
4,678.93:11:13:56
4,678.57:11:14:14
4,680.37:11:15:22
4,677.32:11:16:21
4,676.31:11:16:47
4,676.35:11:17:00
4,676.90:11:17:30
4,680.67:11:17:52
4,680.71:11:18:21
4,680.72:11:18:40
4,680.67:11:18:43
4,682.72:11:19:25
4,682.74:11:19:28
4,684.51:11:20:16
4,684.47:11:20:39
4,684.64:11:21:16
4,680.87:11:21:41
4,678.18:11:21:44
4,681.45:11:22:12
4,678.68:11:22:30
4,678.39:11:22:55
4,678.66:11:23:31
4,683.81:11:24:27
4,683.67:11:24:30
4,683.63:11:24:48
4,683.55:11:25:44
4,683.67:11:26:03
4,685.13:11:26:29
4,685.20:11:26:48
4,684.74:11:27:02
4,683.86:11:27:33
4,682.08:11:28:05
4,681.77:11:28:16
4,677.39:11:28:38
4,677.61:11:29:05
4,678.02:11:29:29
4,675.45:11:29:52
4,675.47:11:30:02
4,675.26:11:30:28
4,676.67:11:31:11
4,676.81:11:31:18
4,676.77:11:31:36
4,672.89:11:32:13
4,671.75:11:32:46
4,670.31:11:33:53
4,670.59:11:34:02
4,668.18:11:35:03
4,667.99:11:35:26
4,669.72:11:35:32
4,670.21:11:36:13
4,672.13:11:37:07
4,670.71:11:37:36
4,670.78:11:38:06
4,670.68:11:38:15
4,670.57:11:38:42
4,673.26:11:38:46
4,674.00:11:38:58
4,672.95:11:39:20
4,673.50:11:39:45
4,675.05:11:40:28
4,675.68:11:41:02
4,680.16:11:41:45
4,680.22:11:42:01
4,679.60:11:42:17
4,677.43:11:42:47
4,677.55:11:42:58
4,677.59:11:43:15
4,678.06:11:43:33
4,678.11:11:44:01
4,679.29:11:44:24
4,679.40:11:45:02
4,679.03:11:45:16
4,678.51:11:46:03
4,680.90:11:46:16
4,680.85:11:46:40
4,679.87:11:46:44
4,680.05:11:47:02
4,680.49:11:47:37
4,680.44:11:47:55
4,680.14:11:48:35
4,680.17:11:48:49
4,680.91:11:49:03
4,679.29:11:49:16
4,677.08:11:49:28
4,676.72:11:49:55
4,676.80:11:50:09
4,676.85:11:50:23
4,676.86:11:50:38
4,676.81:11:50:51
4,676.86:11:51:21
4,676.38:11:51:35
4,676.16:11:51:48
4,677.05:11:52:00
4,675.24:11:52:38
4,675.79:11:53:06
4,677.01:11:53:20
4,676.89:11:53:35
4,677.12:11:53:46
4,674.38:11:54:11
4,674.42:11:54:37
4,674.59:11:54:49
4,677.56:11:55:02
4,677.64:11:55:18
4,677.62:11:55:33
4,676.51:11:55:46
4,676.48:11:56:13
4,675.63:11:56:26
4,675.11:11:56:42
4,676.05:11:56:54
4,676.01:11:57:08
4,681.24:11:57:22
4,678.16:11:57:46
4,677.91:11:58:22
4,677.81:11:58:35
4,677.80:11:58:49
4,675.31:11:59:01
4,675.37:11:59:25
4,677.02:11:59:55
4,677.78:12:00:07
4,677.24:12:00:23
4,677.27:12:00:54
4,677.33:12:01:08
4,677.25:12:01:21
4,677.07:12:01:35
4,676.96:12:01:51
4,677.67:12:02:04
4,675.83:12:02:32
4,675.97:12:02:49
4,675.92:12:03:04
4,676.03:12:03:18
4,676.02:12:03:33
4,675.04:12:03:47
4,674.44:12:04:03
4,682.09:12:08:49
4,681.57:12:09:06
4,676.94:12:09:36
4,668.36:12:10:20
4,667.27:12:10:34
4,666.11:12:10:45
4,665.25:12:11:11
4,666.86:12:11:36
4,667.97:12:11:50
4,668.86:12:12:05
4,668.96:12:12:19
4,668.91:12:12:32
4,669.08:12:12:46
4,669.46:12:13:10
4,675.66:12:14:12
4,677.61:12:15:07
4,678.04:12:15:31
4,674.80:12:17:24
4,675.70:12:18:12
4,673.23:12:18:20
4,673.14:12:19:22
4,673.07:12:19:47
4,673.00:12:20:00
4,673.11:12:20:26
4,672.47:12:20:51
4,672.31:12:21:02
4,672.38:12:22:06
4,673.54:12:22:16
4,673.80:12:22:39
4,673.69:12:23:03
4,675.04:12:23:17
4,675.14:12:23:30
4,674.94:12:23:57
4,677.64:12:24:33
4,674.86:12:25:04
4,674.83:12:25:17
4,674.92:12:25:42
4,675.85:12:26:23
4,673.65:12:26:36
4,672.19:12:26:48
4,672.21:12:27:01
4,671.81:12:27:59
4,672.66:12:28:11
4,672.48:12:28:23
4,672.51:12:28:35
4,672.42:12:28:47
4,672.38:12:29:01
4,670.57:12:29:54
4,675.97:12:30:07
4,676.91:12:30:20
4,676.76:12:30:39
4,675.84:12:31:18
4,675.89:12:31:35
4,675.84:12:31:49
4,675.81:12:32:40
4,675.93:12:33:06
4,675.20:12:33:18
4,673.35:12:33:43
4,673.50:12:33:55
4,675.24:12:34:08
4,675.95:12:34:19
4,674.63:12:34:42
4,674.88:12:34:54
4,674.91:12:35:06
4,674.88:12:35:20
4,674.95:12:35:36
4,674.17:12:35:52
4,674.28:12:36:26
4,673.78:12:36:43
4,672.78:12:36:59
4,672.73:12:37:18
4,672.22:12:37:29
4,667.42:12:37:44
4,669.47:12:37:59
4,668.51:12:38:14
